@RELATION DataTable
@ATTRIBUTE pub	{0,1}
@ATTRIBUTE hour	{0,1}
@ATTRIBUTE minute	{0,1}
@ATTRIBUTE second	{0,1}
@ATTRIBUTE relDocPos	REAL
@ATTRIBUTE ordDocPos	REAL
@ATTRIBUTE ordAgePos	REAL
@ATTRIBUTE keyClass	{3,0,1,2}
@ATTRIBUTE keyLoc	{2,0,1}
@ATTRIBUTE keyDiff	REAL
@ATTRIBUTE simpleTag	{0,1}
@ATTRIBUTE hTag	{0,1}
@ATTRIBUTE tagName	{SPAN,P,LI,FONT,DIV,H2,A,B,OPTION,SMALL,EM,H3,CENTER,ABBR,NOBR,STRONG,TD,CITE,BODY,I,PRE,DD,DT,BLOCKQUOTE,HTML:ABBR,H4,H5,TITLE,PAUSING,DL,U,ADDRESS,EDITDATE,H6,CODE,H1,TIME}
@ATTRIBUTE hasStructureDate	{0,1}
@ATTRIBUTE inMetaDates	{0,1}
@ATTRIBUTE inUrl	{0,1}
@ATTRIBUTE relCntSame	REAL
@ATTRIBUTE relSize	REAL
@ATTRIBUTE distPosBefore	INTEGER
@ATTRIBUTE distPosAfter	INTEGER
@ATTRIBUTE distAgeBefore	INTEGER
@ATTRIBUTE format	{'MMMM DD, YYYY','MMMM DD, YYYY YYYY HH:MM:SS +UTC',MM/DD/YYYY,'DD. MMMM YYYY',DD.MM.YYYY,YYYY-MM-DD,YYYY_MM_DD,'MM/DD/YYYY HH:MM:SS +UTC','DD. MMMM YYYY HH:MM:SS +UTC',YYYYMMDD,YYYY-DDD,'WD, DD MMM YYYY HH:MM:SS +UTC',MMMM-DD-YYYY,YYYY-MMM-D,'DD.MM.YYYY HH:MM:SS +UTC',YYYY-MM-DDTHH:MM:SS+HH:MM,YYYYDDD,'WD MMM DD_1 HH:MM:SS YYYY'}
@ATTRIBUTE keyword	{date,null,posted,update,release,added,updated,create,publish,released,published,revised,created,pdate,revise,'last modified',date-header,pubdate,datetime,geschrieben}
@ATTRIBUTE excatness	{3,5,4,6}
@ATTRIBUTE keyLoc201	{0,1}
@ATTRIBUTE keyLoc202	{1,0}
@ATTRIBUTE isKeyClass1	{0,1}
@ATTRIBUTE isKeyClass2	{0,1}
@ATTRIBUTE isKeyClass3	{1,0}

@DATA
0,0,0,0,0.631,0.694,0.806,0,0,0.0,0,0,P,0,0,0,0.028,0.014,1454,170,0,'MMMM DD, YYYY',null,3,0,0,0,0,0
0,0,0,0,0.632,0.708,0.889,0,0,0.0,0,0,P,0,0,0,0.042,0.014,170,1920,0,'MMMM DD, YYYY',null,3,0,0,0,0,0
0,0,0,0,0.648,0.736,0.903,0,0,0.0,0,0,P,0,0,0,0.042,0.014,665,2393,0,'MMMM DD, YYYY',null,3,0,0,0,0,0
0,0,0,0,0.663,0.764,1.0,3,2,0.2,0,0,P,0,0,0,0.014,0.014,88,9135,2303,'MMMM DD, YYYY',date,3,0,1,0,0,1
0,0,0,0,0.72,0.778,0.556,2,2,0.967,0,0,P,0,0,0,0.083,0.014,9135,2375,0,'MMMM DD, YYYY',update,3,0,1,0,1,0
0,0,0,0,0.736,0.806,0.917,0,0,0.0,0,0,P,0,0,0,0.042,0.014,170,8244,1464,'MMMM DD, YYYY',null,3,0,0,0,0,0
0,0,0,0,0.788,0.819,0.569,1,2,0.967,0,0,SPAN,0,0,0,0.083,0.014,8244,638,96,'MMMM DD, YYYY',posted,3,0,1,1,0,0
0,0,0,0,0.841,0.847,0.597,0,0,0.0,0,0,P,0,0,0,0.042,0.014,7977,1844,0,'MMMM DD, YYYY',null,3,0,0,0,0,0
0,0,0,0,0.853,0.861,0.611,0,0,0.0,0,0,P,0,0,0,0.042,0.014,1844,680,24,'MMMM DD, YYYY',null,3,0,0,0,0,0
1,0,0,0,0.858,0.889,0.708,0,0,0.0,0,0,P,0,1,0,0.042,0.014,193,830,0,'MMMM DD, YYYY',null,3,0,0,0,0,0
0,0,0,0,0.887,0.917,0.681,0,0,0.0,0,0,P,0,0,0,0.042,0.014,3887,2152,24,'MMMM DD, YYYY',null,3,0,0,0,0,0
0,0,0,0,0.901,0.931,0.778,0,0,0.0,0,0,P,0,0,0,0.014,0.014,2152,363,384,'MMMM DD, YYYY',null,3,0,0,0,0,0
1,0,0,0,0.908,0.958,0.722,1,2,0.967,0,0,SPAN,0,1,0,0.042,0.014,735,763,0,'MMMM DD, YYYY',posted,3,0,1,1,0,0
0,0,0,0,0.912,0.972,0.764,0,0,0.0,0,0,P,0,0,0,0.014,0.014,763,3124,24,'MMMM DD, YYYY',null,3,0,0,0,0,0
0,0,0,0,0.031,0.143,0.143,1,2,0.867,0,0,LI,0,0,0,0.143,0.143,-1,429,2280,'MMMM DD, YYYY',posted,3,0,1,1,0,0
0,0,0,0,0.101,0.286,0.286,1,2,0.867,0,0,LI,0,0,0,0.143,0.143,429,488,11617,'MMMM DD, YYYY',posted,3,0,1,1,0,0
0,0,0,0,0.18,0.429,0.429,1,2,0.867,0,0,LI,0,0,0,0.143,0.143,488,470,336,'MMMM DD, YYYY',posted,3,0,1,1,0,0
1,0,0,0,0.454,1.0,1.0,1,2,0.867,0,0,LI,0,0,0,0.286,0.143,356,-1,0,'MMMM DD, YYYY',posted,3,0,1,1,0,0
1,0,0,0,0.089,0.333,1.0,0,0,0.0,0,1,H5,0,0,1,0.333,0.333,-1,5526,48,'MMMM DD, YYYY',null,3,0,0,0,0,0
0,0,0,0,0.172,0.154,0.231,0,0,0.0,0,0,FONT,0,0,0,0.077,0.077,3694,9389,12961,MM/DD/YYYY,null,3,0,0,0,0,0
0,0,0,0,0.467,0.308,1.0,0,0,0.0,0,0,FONT,0,0,0,0.077,0.077,11540,777,1320,MM/DD/YYYY,null,3,0,0,0,0,0
0,0,0,0,0.478,0.385,0.385,0,0,0.0,0,0,FONT,0,0,0,0.077,0.077,777,7327,10104,MM/DD/YYYY,null,3,0,0,0,0,0
0,0,0,0,0.581,0.462,0.846,0,0,0.0,0,0,FONT,0,0,0,0.077,0.077,7327,1635,6168,MM/DD/YYYY,null,3,0,0,0,0,0
0,0,0,0,0.604,0.538,0.462,0,0,0.0,0,0,FONT,0,0,0,0.077,0.077,1635,2080,72,MM/DD/YYYY,null,3,0,0,0,0,0
0,0,0,0,0.634,0.615,0.692,0,0,0.0,0,0,FONT,0,0,0,0.077,0.077,2080,119,408,MM/DD/YYYY,null,3,0,0,0,0,0
0,0,0,0,0.635,0.692,0.538,0,0,0.0,0,0,FONT,0,0,0,0.077,0.077,119,3444,1080,MM/DD/YYYY,null,3,0,0,0,0,0
0,0,0,0,0.684,0.769,0.615,0,0,0.0,0,0,FONT,0,0,0,0.077,0.077,3444,2729,792,MM/DD/YYYY,null,3,0,0,0,0,0
0,0,0,0,0.722,0.846,0.923,0,0,0.0,0,0,FONT,0,0,0,0.077,0.077,2729,10924,1320,MM/DD/YYYY,null,3,0,0,0,0,0
0,0,0,0,0.876,0.923,0.769,2,2,0.7,0,0,FONT,0,0,0,0.077,0.077,10924,8758,4631,MM/DD/YYYY,update,3,0,1,0,1,0
0,0,0,0,0.999,1.0,0.077,2,2,0.0,0,0,FONT,0,1,0,0.077,0.077,8758,-1,5809,'MMMM DD, YYYY',updated,3,0,1,0,1,0
0,0,0,0,0.869,1.0,1.0,0,0,0.0,0,0,P,0,0,0,0.333,0.333,4967,-1,20785,'MMMM DD, YYYY',null,3,0,0,0,0,0
1,0,0,0,0.997,1.0,1.0,2,2,0.0,0,0,P,0,0,0,1.0,1.0,-1,-1,-1,MM/DD/YYYY,'last modified',3,0,1,0,1,0
0,0,0,0,0.49,0.133,0.2,2,2,0.3,0,0,DIV,0,0,0,0.133,0.067,13,64,0,MM/DD/YYYY,update,3,0,1,0,1,0
0,0,0,0,0.49,0.267,0.267,2,2,0.733,0,0,DIV,0,0,0,0.133,0.067,13,40,0,MM/DD/YYYY,update,3,0,1,0,1,0
0,0,0,0,0.491,0.333,0.333,2,2,0.967,0,1,H2,0,0,0,0.067,0.067,40,6799,24,'MMMM DD, YYYY',update,3,0,1,0,1,0
0,0,0,0,0.55,0.4,0.4,1,2,0.8,0,1,H2,0,0,0,0.067,0.067,6799,3763,24,'MMMM DD, YYYY',posted,3,0,1,1,0,0
