die	Legierung	die	Legierungen
die	Seriennummer	die	Seriennummern
das	Novum	die	Nova
die	Stasis	die	Stasen
das	Pfefferspray	die	Pfeffersprays
der	Dürrständer	die	Dürrständer
das	Gemüse	die	Gemüse
der	Muselman	die	Muselmanen
das	Schachzabel	die	Schachzabel
die	Flasche	die	Flaschen
die	Base	die	Basen
der	Bär	die	Bären
die	Exspiration	die	Exspirationen
die	Straße	die	Straßen
die	Wäsche	die	Wäschen
das	Haferl	die	Haferl
der	Klammeraffe	die	Klammeraffen
die	Applikation	die	Applikationen
der	Schniepel	die	Schniepel
das	Nodium	die	Nodien
die	Schwulität	die	Schwulitäten
der	Schaft	die	Schäfte
die	Capa	die	Capas
der	Marmeladinger	die	Marmeladinger
die	Invektive	die	Invektiven
die	Glühbirne	die	Glühbirnen
die	Exkursion	die	Exkursionen
die	Fassung	die	Fassungen
der	Fahrzeugführer	die	Fahrzeugführer
der	Frevel	die	Frevel
die	Indifferenz	die	Indifferenzen
der	Kader	die	Kader
das	Unikum	die	Unika
die	Leuchtstoffröhre	die	Leuchtstoffröhren
der	Konsumtempel	die	Konsumtempel
das	Rampenlicht	die	Rampenlichter
das	Blaulicht	die	Blaulichter
die	Lampe	die	Lampen
die	Lichtgeschwindigkeit	die	Lichtgeschwindigkeiten
das	Leerzeichen	die	Leerzeichen
der	Kantersieg	die	Kantersiege
die	Dividende	die	Dividenden
der	Eigentümer	die	Eigentümer
der	Besitzer	die	Besitzer
der	Pappkamerad	die	Pappkameraden
das	Schleppnetz	die	Schleppnetze
die	Glühlampe	die	Glühlampen
das	Verkehrsmittel	die	Verkehrsmittel
der	Reißnagel	die	Reißnägel
die	Armee	die	Armeen
die	Amenorrhö	die	Amenorrhöen
der	Sauser	die	Sauser
der	Glühwein	die	Glühweine
die	Forfaitierung	die	Forfaitierungen
der	Film	die	Filme
der	Speckdäne	die	Speckdänen
das	Klischee	die	Klischees
die	Intension	die	Intensionen
die	Intensität	die	Intensitäten
der	Audio-Designer	die	Audio-Designer
der	Audio Designer	die	Audio Designer
das	Koma	die	Komas
die	Möwe	die	Möwen
der	Zaunpfahl	die	Zaunpfähle
der	Dominostein	die	Dominosteine
die	Dummheit	die	Dummheiten
die	Intelligenz	die	Intelligenzen
der	Staat	die	Staaten
der	Pashmina	die	Pashminas
die	Brücke	die	Brücken
das	Tier	die	Tiere
der	Soldat	die	Soldaten
der	Buchstabe	die	Buchstaben
der	Intelligenzquotient	die	Intelligenzquotienten
die	Gruppe	die	Gruppen
das	Glas	die	Gläser
der	Kopf	die	Köpfe
das	Mädchen	die	Mädchen
die	Apostasie	die	Apostasien
der	Architrav	die	Architrave
die	Diskrepanz	die	Diskrepanzen
der	Zelot	die	Zeloten
die	Korrugation	die	Korrugationen
der	Scherzanruf	die	Scherzanrufe
die	Syntänie	die	Syntänien
der	Krebs	die	Krebse
die	Infantilität	die	Infantilitäten
das	Weichei	die	Weicheier
der	Regenbogen	die	Regenbögen
die	Mondfähre	die	Mondfähren
die	Technik	die	Techniken
das	Phonem	die	Phoneme
der	Vorteil	die	Vorteile
der	Nachteil	die	Nachteile
der	Ahmadi	die	Ahmadis
der	Alt	die	Alte
die	Schule	die	Schulen
der	Komplementär	die	Komplementäre
der	Dōjinshi	die	Dōjinshis
der	Zucker	die	Zucker
die	Leuchte	die	Leuchten
die	Münze	die	Münzen
der	Angster	die	Angster
die	Galaxie	die	Galaxien
die	Spielwiese	die	Spielwiesen
der	Hygrophyt	die	Hygrophyten
das	H	die	H(s)
der	Troglodyt	die	Troglodyten
die	Olive	die	Oliven
das	Gas	die	Gase
die	Konvergenz	die	Konvergenzen
der	Protest	die	Proteste
die	Lederjacke	die	Lederjacken
der	Rollschuh	die	Rollschuhe
der	Inline-Skate	die	Inline-Skates
die	Produktion	die	Produktionen
die	Kammlinie	die	Kammlinien
die	Diffusion	die	Diffusionen
die	Diffamie	die	Diffamien
die	Blume	die	Blumen
der	Wolf	die	Wölfe
das	Privativum	die	Privativa
die	DVD	die	DVDs
das	G	die	G(s)
das	Paderborner	die	Paderborner
die	Impression	die	Impressionen
der	Ball	die	Bälle
der	Sitz	die	Sitze
der	Fehler	die	Fehler
der	Kurzvortrag	die	Kurzvorträge
das	Wunder	die	Wunder
das	Meer	die	Meere
die	Affiliation	die	Affiliationen
der	Spekulatius	die	Spekulatius
die	Bitte	die	Bitten
die	Luftfracht	die	Luftfrachten
die	Luftverschmutzung	die	Luftverschmutzungen
die	Luftpumpe	die	Luftpumpen
die	Luftpistole	die	Luftpistolen
die	Luftlinie	die	Luftlinien
der	Text	die	Texte
das	Schlitzohr	die	Schlitzohren
die	Geradlinigkeit	die	Geradlinigkeiten
der	Wasserwerfer	die	Wasserwerfer
die	Ampel	die	Ampeln
der	Blinker	die	Blinker
die	Kerze	die	Kerzen
die	Funzel	die	Funzeln
das	Tor	die	Tore
das	Polarlicht	die	Polarlichter
das	Kerzenlicht	die	Kerzenlichter
das	Wasserzeichen	die	Wasserzeichen
die	Wasserader	die	Wasseradern
der	Wasserkocher	die	Wasserkocher
die	Wasseruhr	die	Wasseruhren
das	Wasserflugzeug	die	Wasserflugzeuge
der	Wassereimer	die	Wassereimer
der	Wassergraben	die	Wassergräben
die	Wasserlinie	die	Wasserlinien
der	Wasserball	die	Wasserbälle
die	Wasserlandung	die	Wasserlandungen
der	Wassereinbruch	die	Wassereinbrüche
der	Wasserhahn	die	Wasserhähne
der	Wasserkessel	die	Wasserkessel
die	Hyperlipidämie	die	Hyperlipidämien
das	Wasserglas	die	Wassergläser
die	Wasserfarbe	die	Wasserfarben
die	Wasserpistole	die	Wasserpistolen
das	Wasserbett	die	Wasserbetten
die	Wasserung	die	Wasserungen
das	Wasserwerk	die	Wasserwerke
der	Wasserzähler	die	Wasserzähler
die	Wasserratte	die	Wasserratten
der	Wasserfall	die	Wasserfälle
das	Wasserfahrzeug	die	Wasserfahrzeuge
die	Wassermelone	die	Wassermelonen
die	Sonnenfinsternis	die	Sonnenfinsternisse
die	Integration	die	Integrationen
der	Boxkampf	die	Boxkämpfe
der	Zweikampf	die	Zweikämpfe
die	Säure	die	Säuren
die	Stille	die	Stillen
die	Lautschrift	die	Lautschriften
der	Otaku	die	Otakus
die	Geografie	die	Geografien
das	Säugetier	die	Säugetiere
die	Wasserbombe	die	Wasserbomben
die	Wasserhose	die	Wasserhosen
der	Wasserfloh	die	Wasserflöhe
das	Wassertier	die	Wassertiere
die	Wasserschlange	die	Wasserschlangen
das	Teilchen	die	Teilchen
das	Plebiszit	die	Plebiszite
der	Wasserlauf	die	Wasserläufe
der	Schlüssel	die	Schlüssel
der	Luftschlag	die	Luftschläge
der	Hals	die	Hälse
der	Link	die	Links
der	Antagonist	die	Antagonisten
der	Erdtrabant	die	Erdtrabanten
der	Erdteil	die	Erdteile
die	Erdmasse	die	Erdmassen
der	Sessel	die	Sessel
der	Papa	die	Papas
die	Wasserleitung	die	Wasserleitungen
das	Waffensystem	die	Waffensysteme
die	Waffenkammer	die	Waffenkammern
das	Quant	die	Quanten
die	Saigerteufe	die	Saigerteufen
die	Stirn	die	Stirnen
der	Fingerabdruck	die	Fingerabdrücke
der	Panzer	die	Panzer
der	Destinatär	die	Destinatäre
das	Impressum	die	Impressen
das	Phasenkonzept	die	Phasenkonzepte
die	Ranküne	die	Rankünen
die	Nierenrinde	die	Nierenrinden
das	Nierenbecken	die	Nierenbecken
die	Niere	die	Nieren
das	Edelgas	die	Edelgase
die	Landung	die	Landungen
die	Notwasserung	die	Notwasserungen
die	Bluttransfusion	die	Bluttransfusionen
das	Blutplättchen	die	Blutplättchen
die	Intelligenzbestie	die	Intelligenzbestien
der	Schwimmer	die	Schwimmer
der	Streber	die	Streber
die	Mondlandung	die	Mondlandungen
der	Engel	die	Engel
die	Geilstelle	die	Geilstellen
die	Einheit	die	Einheiten
der	Fernsehsessel	die	Fernsehsessel
der	Schlafsessel	die	Schlafsessel
das	Pulver	die	Pulver
die	Arbeit	die	Arbeiten
der	Matrose	die	Matrosen
die	Übersetzung	die	Übersetzungen
die	Kanne	die	Kannen
die	Kapitulation	die	Kapitulationen
der	Kampfpanzer	die	Kampfpanzer
der	Kampfplatz	die	Kampfplätze
der	Vorstand	die	Vorstände
die	Polin	die	Polinnen
der	Windeldienst	die	Windeldienste
der	Spitzel	die	Spitzel
das	Date	die	Dates
der	Feind	die	Feinde
der	Eichelhäher	die	Eichelhäher
der	Windelservice	die	Windelservices
der	Laut	die	Laute
das	Outplacement	die	Outplacements
die	Funktion	die	Funktionen
die	Soundkarte	die	Soundkarten
der	Elefant	die	Elefanten
der	Roman	die	Romane
der	Zwerg	die	Zwerge
der	Hut	die	Hüte
die	Zensur	die	Zensuren
der	Hüne	die	Hünen
die	Prozessanalyse	die	Prozessanalysen
der	Steert	die	Steerte
der	Fick	die	Ficks
das	Gleichungssystem	die	Gleichungssysteme
die	Lösung	die	Lösungen
die	Mondlandefähre	die	Mondlandefähren
der	Besserwisser	die	Besserwisser
der	Erzengel	die	Erzengel
der	Psychopath	die	Psychopathen
die	Wurst	die	Würste
das	Saprozoon	die	Saprozoen
der	Käse	die	Käse
die	Energiequelle	die	Energiequellen
die	Kraft	die	Kräfte
der	Schutzengel	die	Schutzengel
die	Satire	die	Satiren
das	Ideal	die	Ideale
die	Spezies	die	Spezies
das	Ingrediens	die	Ingredienzien
die	Ingredienz	die	Ingredienzen
das	Imperium	die	Imperien
der	Abenteuerfilm	die	Abenteuerfilme
der	Actionfilm	die	Actionfilme
der	Autorenfilm	die	Autorenfilme
die	Börse	die	Börsen
der	Satz	die	Sätze
die	Phobie	die	Phobien
der	Sensenmann	die	Sensenmänner
die	Beerdigung	die	Beerdigungen
der	Sarg	die	Särge
das	Erfordernis	die	Erfordernisse
der	Bergfilm	die	Bergfilme
der	Kontinent	die	Kontinente
das	Bild	die	Bilder
die	Präambel	die	Präambeln
die	Schmonzette	die	Schmonzetten
der	Autor	die	Autoren
der	Programmierer	die	Programmierer
der	Eisbrecher	die	Eisbrecher
der	Eisbär	die	Eisbären
die	Penunse	die	Penunsen
das	Eisfach	die	Eisfächer
die	Eistüte	die	Eistüten
der	Eiswürfel	die	Eiswürfel
die	Prämisse	die	Prämissen
das	Benzin	die	Benzine
die	Penunze	die	Penunzen
die	Beatmungsmaske	die	Beatmungsmasken
die	Zicke	die	Zicken
die	Kirsche	die	Kirschen
der	Adamsapfel	die	Adamsäpfel
der	Apfelkuchen	die	Apfelkuchen
der	Macho	die	Machos
der	Tümpel	die	Tümpel
der	Hubschrauberträger	die	Hubschrauberträger
der	Lenkwaffenkreuzer	die	Lenkwaffenkreuzer
der	Tender	die	Tender
das	Versorgungsschiff	die	Versorgungsschiffe
der	Träger	die	Träger
die	Bierflasche	die	Bierflaschen
die	Literflasche	die	Literflaschen
die	Glasflasche	die	Glasflaschen
die	Feldflasche	die	Feldflaschen
die	Mehrwegflasche	die	Mehrwegflaschen
die	Bilge	die	Bilgen
die	Pfandflasche	die	Pfandflaschen
das	Moor	die	Moore
der	Mohr	die	Mohren
das	Plazet	die	Plazets
der	Fantasyfilm	die	Fantasyfilme
das	Netzwerk	die	Netzwerke
die	Schleife	die	Schleifen
der	Heimatfilm	die	Heimatfilme
der	Horrorfilm	die	Horrorfilme
der	Befehl	die	Befehle
der	Flügel	die	Flügel
die	Pikkoloflöte	die	Pikkoloflöten
der	Paarlauf	die	Paarläufe
das	Insekt	die	Insekten
die	Pacht	die	Pachten
der	Winter	die	Winter
